Matches 1, Day 1
Wol Swett;1;1;FC Quatorze
AC Putopolis;2;0;Fög Cüe Gartz
Quat Filon;0;2;Wol Quatorze
Fc Melvin;7;0;AC Dixotopolis
Fög Cüe Swett;2;0;KALO One
Kalo Melvin;2;1;VfB Putopolis
Wol Vingt;2;0;TZ Un
Fc Memphistopolis;3;0;TZ Gartz
Day 2
AC Dixotopolis;1;1;Kalo Melvin
FC Quatorze;2;1;AC Putopolis
TZ Un;1;3;Fc Memphistopolis
TZ Gartz;2;2;Quat Filon
Fög Cüe Gartz;3;2;Wol Vingt
KALO One;1;1;Wol Quatorze
VfB Putopolis;1;1;Wol Swett
Fög Cüe Swett;1;2;Fc Melvin
Day 3
Quat Filon;0;1;TZ Un
Fc Memphistopolis;2;1;Fög Cüe Gartz
Fc Melvin;5;0;KALO One
Wol Swett;5;1;AC Dixotopolis
Wol Quatorze;0;1;TZ Gartz
AC Putopolis;2;2;VfB Putopolis
Kalo Melvin;2;1;Fög Cüe Swett
Wol Vingt;0;4;FC Quatorze
Day 4
VfB Putopolis;2;3;Wol Vingt
FC Quatorze;0;1;Fc Memphistopolis
Fög Cüe Gartz;2;1;Quat Filon
Fög Cüe Swett;2;1;Wol Swett
Fc Melvin;4;2;Kalo Melvin
AC Dixotopolis;2;2;AC Putopolis
KALO One;2;1;TZ Gartz
TZ Un;1;1;Wol Quatorze
Day 5
TZ Gartz;1;3;TZ Un
Kalo Melvin;2;0;KALO One
AC Putopolis;0;1;Fög Cüe Swett
Wol Vingt;2;0;AC Dixotopolis
Wol Swett;1;4;Fc Melvin
Quat Filon;2;2;FC Quatorze
Wol Quatorze;1;2;Fög Cüe Gartz
Fc Memphistopolis;3;0;VfB Putopolis
Day 6
VfB Putopolis;1;1;Quat Filon
AC Dixotopolis;0;1;Fc Memphistopolis
FC Quatorze;1;1;Wol Quatorze
Fög Cüe Swett;3;1;Wol Vingt
Fög Cüe Gartz;2;2;TZ Gartz
Fc Melvin;3;1;AC Putopolis
Kalo Melvin;1;2;Wol Swett
KALO One;2;3;TZ Un
Day 7
TZ Gartz;0;2;FC Quatorze
Quat Filon;2;2;AC Dixotopolis
Fc Memphistopolis;1;1;Fög Cüe Swett
Wol Swett;1;2;KALO One
Wol Vingt;0;4;Fc Melvin
Wol Quatorze;2;2;VfB Putopolis
TZ Un;2;1;Fög Cüe Gartz
AC Putopolis;2;1;Kalo Melvin
Day 8
Fc Melvin;3;1;Fc Memphistopolis
Fög Cüe Swett;1;1;Quat Filon
FC Quatorze;2;1;TZ Un
KALO One;2;1;Fög Cüe Gartz
Kalo Melvin;1;1;Wol Vingt
VfB Putopolis;2;1;TZ Gartz
AC Dixotopolis;3;2;Wol Quatorze
Wol Swett;2;1;AC Putopolis
Day 9
TZ Gartz;2;2;AC Dixotopolis
TZ Un;2;0;VfB Putopolis
Wol Vingt;1;1;Wol Swett
Fc Memphistopolis;2;0;Kalo Melvin
Wol Quatorze;0;2;Fög Cüe Swett
Fög Cüe Gartz;1;3;FC Quatorze
AC Putopolis;0;1;KALO One
Quat Filon;1;4;Fc Melvin
Day 10
VfB Putopolis;1;1;Fög Cüe Gartz
AC Putopolis;3;1;Wol Vingt
Wol Swett;1;2;Fc Memphistopolis
Fög Cüe Swett;2;0;TZ Gartz
Fc Melvin;3;0;Wol Quatorze
AC Dixotopolis;2;1;TZ Un
KALO One;1;1;FC Quatorze
Kalo Melvin;1;2;Quat Filon
Day 11
Fög Cüe Gartz;3;0;AC Dixotopolis
FC Quatorze;2;2;VfB Putopolis
Wol Quatorze;0;2;Kalo Melvin
TZ Un;1;2;Fög Cüe Swett
Wol Vingt;2;1;KALO One
Quat Filon;3;2;Wol Swett
TZ Gartz;0;6;Fc Melvin
Fc Memphistopolis;2;0;AC Putopolis
Day 12
AC Putopolis;1;1;Quat Filon
Kalo Melvin;1;2;TZ Gartz
AC Dixotopolis;1;2;FC Quatorze
Wol Swett;1;3;Wol Quatorze
KALO One;1;2;VfB Putopolis
Fc Melvin;4;1;TZ Un
Wol Vingt;0;2;Fc Memphistopolis
Fög Cüe Swett;2;0;Fög Cüe Gartz
Day 13
TZ Gartz;1;0;Wol Swett
Fc Memphistopolis;2;0;KALO One
TZ Un;1;1;Kalo Melvin
VfB Putopolis;1;1;AC Dixotopolis
Wol Quatorze;1;1;AC Putopolis
Fög Cüe Gartz;1;2;Fc Melvin
Quat Filon;2;0;Wol Vingt
FC Quatorze;0;1;Fög Cüe Swett
Day 14
AC Putopolis;1;1;TZ Gartz
Kalo Melvin;2;1;Fög Cüe Gartz
Fög Cüe Swett;3;0;VfB Putopolis
KALO One;2;1;AC Dixotopolis
Wol Vingt;0;2;Wol Quatorze
Fc Memphistopolis;2;1;Quat Filon
Wol Swett;3;1;TZ Un
Fc Melvin;3;1;FC Quatorze
Day 15
Quat Filon;2;0;KALO One
VfB Putopolis;1;3;Fc Melvin
FC Quatorze;1;3;Kalo Melvin
Wol Quatorze;0;1;Fc Memphistopolis
TZ Un;1;2;AC Putopolis
AC Dixotopolis;1;3;Fög Cüe Swett
Fög Cüe Gartz;2;0;Wol Swett
TZ Gartz;2;2;Wol Vingt
Rematches 1, Day 16
FC Quatorze;2;1;Wol Swett
Fög Cüe Gartz;1;1;AC Putopolis
Wol Quatorze;2;2;Quat Filon
AC Dixotopolis;1;4;Fc Melvin
KALO One;0;3;Fög Cüe Swett
VfB Putopolis;1;1;Kalo Melvin
TZ Un;0;1;Wol Vingt
TZ Gartz;0;0;Fc Memphistopolis
Day 17
Kalo Melvin;1;2;AC Dixotopolis
AC Putopolis;2;2;FC Quatorze
Fc Memphistopolis;2;1;TZ Un
Quat Filon;2;1;TZ Gartz
Wol Vingt;1;1;Fög Cüe Gartz
Wol Quatorze;2;1;KALO One
Wol Swett;3;1;VfB Putopolis
Fc Melvin;4;3;Fög Cüe Swett
Day 18
TZ Un;1;1;Quat Filon
Fög Cüe Gartz;2;2;Fc Memphistopolis
KALO One;0;2;Fc Melvin
AC Dixotopolis;3;2;Wol Swett
TZ Gartz;2;0;Wol Quatorze
VfB Putopolis;2;1;AC Putopolis
Fög Cüe Swett;2;2;Kalo Melvin
FC Quatorze;1;1;Wol Vingt
Day 19
Wol Vingt;0;0;VfB Putopolis
Fc Memphistopolis;2;1;FC Quatorze
Quat Filon;3;1;Fög Cüe Gartz
Wol Swett;1;1;Fög Cüe Swett
Kalo Melvin;2;3;Fc Melvin
AC Putopolis;1;2;AC Dixotopolis
TZ Gartz;2;4;KALO One
Wol Quatorze;1;3;TZ Un
Day 20
TZ Un;1;3;TZ Gartz
KALO One;1;2;Kalo Melvin
Fög Cüe Swett;1;1;AC Putopolis
AC Dixotopolis;2;2;Wol Vingt
Fc Melvin;2;1;Wol Swett
FC Quatorze;0;2;Quat Filon
Fög Cüe Gartz;2;2;Wol Quatorze
VfB Putopolis;1;1;Fc Memphistopolis
Day 21
Quat Filon;1;1;VfB Putopolis
Fc Memphistopolis;2;0;AC Dixotopolis
Wol Quatorze;2;1;FC Quatorze
Wol Vingt;0;3;Fög Cüe Swett
TZ Gartz;2;2;Fög Cüe Gartz
AC Putopolis;1;2;Fc Melvin
Wol Swett;3;3;Kalo Melvin
TZ Un;2;2;KALO One
Day 22
FC Quatorze;1;1;TZ Gartz
AC Dixotopolis;1;3;Quat Filon
Fög Cüe Swett;1;0;Fc Memphistopolis
KALO One;2;4;Wol Swett
Fc Melvin;5;0;Wol Vingt
VfB Putopolis;2;1;Wol Quatorze
Fög Cüe Gartz;1;1;TZ Un
Kalo Melvin;1;2;AC Putopolis
Day 23
Fc Memphistopolis;2;5;Fc Melvin
Quat Filon;3;2;Fög Cüe Swett
TZ Un;1;1;FC Quatorze
Fög Cüe Gartz;0;1;KALO One
Wol Vingt;1;3;Kalo Melvin
TZ Gartz;1;1;VfB Putopolis
Wol Quatorze;1;3;AC Dixotopolis
AC Putopolis;3;1;Wol Swett
Day 24
AC Dixotopolis;1;1;TZ Gartz
VfB Putopolis;2;2;TZ Un
Wol Swett;1;1;Wol Vingt
Kalo Melvin;1;0;Fc Memphistopolis
Fög Cüe Swett;2;1;Wol Quatorze
FC Quatorze;3;0;Fög Cüe Gartz
KALO One;1;1;AC Putopolis
Fc Melvin;3;2;Quat Filon
Day 25
Fög Cüe Gartz;3;2;VfB Putopolis
Wol Vingt;2;1;AC Putopolis
Fc Memphistopolis;1;2;Wol Swett
TZ Gartz;1;3;Fög Cüe Swett
Wol Quatorze;0;4;Fc Melvin
TZ Un;1;1;AC Dixotopolis
FC Quatorze;2;0;KALO One
Quat Filon;3;2;Kalo Melvin
Day 26
AC Dixotopolis;1;3;Fög Cüe Gartz
VfB Putopolis;1;1;FC Quatorze
Kalo Melvin;1;2;Wol Quatorze
Fög Cüe Swett;4;1;TZ Un
KALO One;2;2;Wol Vingt
Wol Swett;1;2;Quat Filon
Fc Melvin;4;2;TZ Gartz
AC Putopolis;1;1;Fc Memphistopolis
Day 27
Quat Filon;2;0;AC Putopolis
TZ Gartz;2;1;Kalo Melvin
FC Quatorze;1;1;AC Dixotopolis
Wol Quatorze;2;2;Wol Swett
VfB Putopolis;1;0;KALO One
TZ Un;0;4;Fc Melvin
Fc Memphistopolis;2;0;Wol Vingt
Fög Cüe Gartz;0;2;Fög Cüe Swett
Day 28
Wol Swett;1;1;TZ Gartz
KALO One;2;2;Fc Memphistopolis
Kalo Melvin;3;1;TZ Un
AC Dixotopolis;2;2;VfB Putopolis
AC Putopolis;0;0;Wol Quatorze
Fc Melvin;5;1;Fög Cüe Gartz
Wol Vingt;1;3;Quat Filon
Fög Cüe Swett;4;0;FC Quatorze
Day 29
TZ Gartz;1;2;AC Putopolis
Fög Cüe Gartz;2;1;Kalo Melvin
VfB Putopolis;0;1;Fög Cüe Swett
AC Dixotopolis;2;2;KALO One
Wol Quatorze;0;0;Wol Vingt
Quat Filon;2;0;Fc Memphistopolis
TZ Un;3;1;Wol Swett
FC Quatorze;1;4;Fc Melvin
Day 30
KALO One;3;2;Quat Filon
Fc Melvin;4;0;VfB Putopolis
Kalo Melvin;1;0;FC Quatorze
Fc Memphistopolis;1;1;Wol Quatorze
AC Putopolis;3;1;TZ Un
Fög Cüe Swett;3;0;AC Dixotopolis
Wol Swett;1;1;Fög Cüe Gartz
Wol Vingt;2;2;TZ Gartz
